ID Geography,Geography,Population (2018)
05000US24031,"Montgomery County, MD",1052567
05000US47189,"Wilson County, TN",140625
05000US12061,"Indian River County, FL",157413
05000US24027,"Howard County, MD",323196
05000US24025,"Harford County, MD",253956
05000US48005,"Angelina County, TX",87092
05000US12069,"Lake County, FL",356495
05000US51810,"Virginia Beach city, VA",450189
05000US24021,"Frederick County, MD",255648
05000US24017,"Charles County, MD",161503
05000US48021,"Bastrop County, TX",86976
05000US12071,"Lee County, FL",754610
05000US24015,"Cecil County, MD",102826
05000US24013,"Carroll County, MD",168429
05000US48027,"Bell County, TX",355642
05000US12073,"Leon County, FL",292502
05000US51800,"Suffolk city, VA",91185
05000US24009,"Calvert County, MD",92003
05000US24005,"Baltimore County, MD",828431
05000US48029,"Bexar County, TX",1986049
05000US12081,"Manatee County, FL",394855
05000US24003,"Anne Arundel County, MD",576031
05000US48037,"Bowie County, TX",94324
05000US24001,"Allegany County, MD",70975
05000US12083,"Marion County, FL",359977
05000US51770,"Roanoke city, VA",99920
05000US23031,"York County, ME",206229
05000US48039,"Brazoria County, TX",370200
05000US23019,"Penobscot County, ME",151096
05000US12085,"Martin County, FL",160912
05000US23011,"Kennebec County, ME",122083
05000US48041,"Brazos County, TX",226758
05000US23005,"Cumberland County, ME",293557
05000US12086,"Miami-Dade County, FL",2761581
05000US51760,"Richmond city, VA",228783
05000US23003,"Aroostook County, ME",67111
05000US48061,"Cameron County, TX",423908
05000US23001,"Androscoggin County, ME",107679
05000US12087,"Monroe County, FL",75027
05000US22109,"Terrebonne Parish, LA",111021
05000US48085,"Collin County, TX",1005146
05000US22105,"Tangipahoa Parish, LA",133777
05000US12089,"Nassau County, FL",85832
05000US51740,"Portsmouth city, VA",94632
05000US22103,"St. Tammany Parish, LA",258111
05000US48091,"Comal County, TX",148373
05000US22097,"St. Landry Parish, LA",82764
05000US12091,"Okaloosa County, FL",207269
05000US22079,"Rapides Parish, LA",130562
05000US48099,"Coryell County, TX",74808
05000US22073,"Ouachita Parish, LA",154475
05000US12095,"Orange County, FL",1380645
05000US51710,"Norfolk city, VA",244076
05000US22071,"Orleans Parish, LA",391006
05000US48113,"Dallas County, TX",2637772
05000US22063,"Livingston Parish, LA",139567
05000US12097,"Osceola County, FL",367990
05000US22057,"Lafourche Parish, LA",98115
05000US48121,"Denton County, TX",859064
05000US22055,"Lafayette Parish, LA",242782
05000US12099,"Palm Beach County, FL",1485941
05000US51700,"Newport News city, VA",178626
05000US22051,"Jefferson Parish, LA",434051
05000US48135,"Ector County, TX",162124
05000US22045,"Iberia Parish, LA",70941
05000US12101,"Pasco County, FL",539630
05000US22033,"East Baton Rouge Parish, LA",440956
05000US48139,"Ellis County, TX",179436
05000US22019,"Calcasieu Parish, LA",203112
05000US12103,"Pinellas County, FL",975280
05000US51680,"Lynchburg city, VA",82126
05000US22017,"Caddo Parish, LA",242922
05000US48141,"El Paso County, TX",840758
05000US22015,"Bossier Parish, LA",127185
05000US12105,"Polk County, FL",708009
05000US22005,"Ascension Parish, LA",124672
05000US48157,"Fort Bend County, TX",787858
05000US21227,"Warren County, KY",131264
05000US12107,"Putnam County, FL",74163
05000US51650,"Hampton city, VA",134313
05000US48167,"Galveston County, TX",337890
05000US21185,"Oldham County, KY",66470
05000US21151,"Madison County, KY",92368
05000US12109,"St. Johns County, FL",254261
05000US21145,"McCracken County, KY",65346
05000US48181,"Grayson County, TX",133991
05000US21117,"Kenton County, KY",166051
05000US12111,"St. Lucie County, FL",321128
05000US51550,"Chesapeake city, VA",242634
